channel,date,green,yellow,red
ABC,2013_04_19,0.2982456140350877,0.7017543859649122,0.0
ABC,2013_04_17,0.5843373493975904,0.41566265060240964,0.0
ABC,2013_04_20,0.319672131147541,0.680327868852459,0.0
ABC,2013_04_21,0.27638190954773867,0.7236180904522613,0.0
ABC,2013_04_16,0.2835820895522388,0.7164179104477612,0.0
ABC,2013_04_18,0.38028169014084506,0.5633802816901409,0.056338028169014086
FOX,2013_04_16,0.0,0.0,1.0
FOX,2013_04_17,0.0,0.0,1.0
FOX,2013_04_18,0.0,0.0,1.0
FOX,2013_04_19,0.0,0.0,1.0
FOX,2013_04_20,0.0,0.0,1.0
FOX,2013_04_21,0.0,0.0,1.0
NBC,2013_04_19,0.5531914893617021,0.44680851063829785,0.0
NBC,2013_04_16,0.00904977375565611,0.8868778280542986,0.10407239819004525
NBC,2013_04_18,0.3284671532846715,0.6715328467153284,0.0
NBC,2013_04_21,0.5035460992907801,0.49645390070921985,0.0
NBC,2013_04_17,0.03225806451612903,0.8817204301075269,0.08602150537634409
NBC,2013_04_20,0.0,0.0,1.0