channel,date,green,yellow,total,red
NBC, 2017_10_07, 15, 15, 30, 0
NBC, 2017_10_03, 0.7352941176470589, Æ’0.2647058823529412, 0.0
NBC, 2017_10_03, 200, 72, 272, 0
NBC, 2017_10_05, 0.9848484848484849, 0.015151515151515152, 0.0
NBC, 2017_10_05, 195, 3, 198, 0
ABC, 2017_10_03, 0.9120879120879121, 0.08791208791208792, 0.0
ABC, 2017_10_03, 249, 24, 273, 0
FOX, 2017_10_05, 0.49382716049382713, 0.5061728395061729, 0.0
FOX, 2017_10_05, 80, 82, 162, 0
ABC, 2017_10_06, 0.46153846153846156, 0.5384615384615384, 0.0
ABC, 2017_10_06, 48, 56, 104, 0
ABC, 2017_10_04, 0.03896103896103896, 0.9415584415584416, 0.01948051948051948
ABC, 2017_10_04, 6, 145, 154, 3
ABC, 2017_10_05, 0.6184971098265896, 0.3815028901734104, 0.0
ABC, 2017_10_05, 107, 66, 173, 0
FOX, 2017_10_03, 0.8888888888888888, 0.1111111111111111, 0.0
FOX, 2017_10_03, 152, 19, 171, 0
FOX, 2017_10_06, 0.4411764705882353, 0.5441176470588235, 0.014705882352941176
FOX, 2017_10_06, 30, 37, 68, 1
NBC, 2017_10_04, 0.7361963190184049, 0.26380368098159507, 0.0
NBC, 2017_10_04, 120, 43, 163, 0
ABC, 2017_10_07, 0.7571428571428571, 0.24285714285714285, 0.0
ABC, 2017_10_07, 53, 17, 70, 0
NBC, 2017_10_06, 0.23170731707317074, 0.7439024390243902, 0.024390243902439025
NBC, 2017_10_06, 19, 61, 82, 2
